review_text,summary,cleaned_review,tokenized_review
  They're ugly: the toe is rounded and the material is weird. the Nike Womens Flex Trainer 6 is way better looking and costs about the same.,  the Nike Womens Flex Trainer 6 is way better looking and costs about the same,  theyre ugly the toe is rounded and the material is weird the nike womens flex trainer  is way better looking and costs about the same,   ugly toe rounded material weird nike womens flex trainer   way better looking costs
  So lightweight and awesome!,  Five Stars,  so lightweight and awesome,   lightweight awesome
  Luv them!!,  Five Stars,  luv them,   luv
  Love the color and fit. I use them to work on at the gym on the treadmill and they are very light and comfortable.,  Love the color and fit,  love the color and fit i use them to work on at the gym on the treadmill and they are very light and comfortable,   love color fit use work gym treadmill light comfortable
  Bought these shoes with HIIT in mind, but not too sure how I like the fit on my foot. First time to wear them,  bought these shoes with hiit in mind,   bought shoes hiit mind
  My daughter loves them. Great fit!,  Great fit!,  my daughter loves them great fit,   daughter loves great fit
  This is a very attractive shoe. It is true to size and fits as expected. Very satisfied with the seller - delivered on time.,  Very satisfied with the seller - delivered on time,  this is a very attractive shoe it is true to size and fits as expected very satisfied with the seller  delivered on time,   attractive shoe true size fits expected satisfied seller   delivered time
  Fits good, very lightweight.,  fits good,   fits good
  Comfortable shoe for both workout sessions and walking.  Neither too bulky nor too light.  This is my second pair because they fit and have no neon or pink colors, just nice basic B&W.,  comfortable shoe for both workout sessions and walking  neither too bulky nor too light  this is my second pair because they fit and have no neon or pink colors,   comfortable shoe workout sessions walking   bulky light   second pair fit neon pink colors
  Nice,  Five Stars,  nice,   nice
  These are the best shoes I have ever use for my workouts!!! I love them and buy them in bulk!!! LOL,  These are the best shoes I have ever use for my workouts,  these are the best shoes i have ever use for my workouts i love them and buy them in bulk lol,   best shoes use workouts love buy bulk lol
  I love these shoes.  They fit as expected and they look really nice on.  These shoes have a narrow base which I really like.  I don't like the ones that make your foot look wide.,  I love these shoes,  i love these shoes  they fit as expected and they look really nice on  these shoes have a narrow base which i really like  i dont like the ones that make your foot look wide,   love shoes   fit expected look nice   shoes narrow base like   nt like ones foot look wide
  Love this product.  Great fit.,  Five Stars,  love this product  great fit,   love product   great fit
  Very low cut heel so if you training and pushing sleds - I ran right out of shoes! Although the traction on toe and heel are great,  Low cut heels,  very low cut heel so if you training and pushing sleds  i ran right out of shoes although the traction on toe and heel are great,   low cut heel training pushing sleds   ran right shoes traction toe heel great
  Just what I needed for Group Fight class. Quick movements and footwork are so easy in these sneakers. Love them.,  Perfect,  just what i needed for group fight class quick movements and footwork are so easy in these sneakers love them,   needed group fight class quick movements footwork easy sneakers love
  Love! Great price too.,  Exactly what I wanted,  love great price too,   love great price
  It's been a long time since I've worked a cross training shoe. This shoe is very light and minimally passed compared to running shoes. That's not meant to be a knock, just a fact.\n\nI ordered the shoes half a size up because as a former runner,  its been a long time since ive worked a cross training shoe this shoe is very light and minimally passed compared to running shoes thats not meant to be a knock,   long time ve worked cross training shoe shoe light minimally passed compared running shoes s meant knock
  Good indoor training shoes for running on treadmill, doing lunges and regular exercises at the gym. These are very flexible,  good indoor training shoes for running on treadmill,   good indoor training shoes running treadmill
  Perf.,  So Perf.,  perf,   perf
  Best shoes ever!!!,  Five Stars,  best shoes ever,   best shoes
  Fit good,  Five Stars,  fit good,   fit good
  I use these for my Cardio Dance class and they are perfect and very cute. I would definitely recommend. They also cam earlier than expected!!,  Great work out shoe,  i use these for my cardio dance class and they are perfect and very cute i would definitely recommend they also cam earlier than expected,   use cardio dance class perfect cute definitely recommend cam earlier expected
  I love these shoes so much that  I reordered another pair online. It's hard to find shoes that fit my really wide feet! The heel back is my favorite part on them, they're thin and feel like another layer of skin,  i love these shoes so much that  i reordered another pair online its hard to find shoes that fit my really wide feet the heel back is my favorite part on them,   love shoes   reordered pair online hard find shoes fit wide feet heel favorite
  Love these sneakers. Light weight and comfortable even without socks.,  Comfortable,  love these sneakers light weight and comfortable even without socks,   love sneakers light weight comfortable socks
  Nice product,  Four Stars,  nice product,   nice product
  I feel like this pair of shoes was made for my feet. Great fit and comfort! Very pleased with this purchase.,  I feel like this pair of shoes was made for my feet,  i feel like this pair of shoes was made for my feet great fit and comfort very pleased with this purchase,   feel like pair shoes feet great fit comfort pleased purchase
  Quick tranasaction!!!  Loved the shoes!!!  Would purchase from them again!!!,  Awesome shoes!!!,  quick tranasaction  loved the shoes  would purchase from them again,   quick tranasaction   loved shoes   purchase
  I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes,  i got the impression its cushiony and comfy by reading the reviews on this product,   got impression cushiony comfy reading reviews product
  So comfortable, I don't even feel like I have a sneaker on. Based on the other reviews I got a half a size up and glad I did.,  so comfortable,   comfortable
  they are very comfortable feel like you have nothing on.,  Five Stars,  they are very comfortable feel like you have nothing on,   comfortable feel like
  My favorite nike shoe,  Five Stars,  my favorite nike shoe,   favorite nike shoe
  Super comfortable and extremely lightweight. Great for crossfit!,  Five Stars,  super comfortable and extremely lightweight great for crossfit,   super comfortable extremely lightweight great crossfit
  Beautiful I love them comfy,  Five Stars,  beautiful i love them comfy,   beautiful love comfy
  I've not even had them a month and the bottom is coming off. I'm not happy!,  Falling apart already!!,  ive not even had them a month and the bottom is coming off im not happy,   ve month coming m happy
  Love them! Fit exactly as expected in length and width! I would definitely buy these again.,  Five Stars,  love them fit exactly as expected in length and width i would definitely buy these again,   love fit exactly expected length width definitely buy
  My second pair, love the fit,  my second pair,   second pair
  I have wide feet and these were too narrow but very nice looking.,  Nike,  i have wide feet and these were too narrow but very nice looking,   wide feet narrow nice looking
  Ugh... way to large - is this for a man?,  Nope,  ugh way to large  is this for a man,   ugh way large   man
  The shoe fit has expected. It is comfortable.,  It is comfortable.,  the shoe fit has expected it is comfortable,   shoe fit expected comfortable
  They fit great, look great,  they fit great,   fit great
 asin: B001IKJOLW, style: {Size::  7.5 D - Wide, asin bikjolw,  asin bikjolw
 asin: B001IKJOLW, style: {Size::  10 B(M) US, asin bikjolw,  asin bikjolw
  Wife happy with fit.,  HIIT shoes,  wife happy with fit,   wife happy fit
  They run big. Order a full size smaller.,  Four Stars,  they run big order a full size smaller,   run big order size smaller
  Super light and very comfortable. I'm a runner and they lack a bit in arch support, so the soles of my feet are a sore. I'm going to add an insert to try fix the problem.,  super light and very comfortable im a runner and they lack a bit in arch support,   super light comfortable m runner lack bit arch support
  Just because they are white, they do need a washing regularly but I have received many compliments on how pretty these white and pink shoes are. Extremely good Nike quality. Highly recommended.,  just because they are white,   white
  Arrived in time. Fit as exoected. They take some breaking in but I wore them 2 days in a row for more than five hours per day.,  Wide sneaker for wide feet,  arrived in time fit as exoected they take some breaking in but i wore them  days in a row for more than five hours per day,   arrived time fit exoected breaking wore   days row hours day
  I've been using these to exercise and they are nice a roomy and allow my feet to breath. Also love the colors.,  I've been using these to exercise and they are nice a roomy and allow my feet to breath,  ive been using these to exercise and they are nice a roomy and allow my feet to breath also love the colors,   ve exercise nice roomy allow feet breath love colors
  Comfortable from the start and very light.,  Five Stars,  comfortable from the start and very light,   comfortable start light
  As expected.,  Five Stars,  as expected,   expected
  Lightweight, comfortable,  lightweight,   lightweight
  I love these and have them in a light blue too. Very light weight, airy,  i love these and have them in a light blue too very light weight,   love light blue light weight
  good quality,  Five Stars,  good quality,   good quality
  Very comfortable sneakers and I also like the way it fits.,  Four Stars,  very comfortable sneakers and i also like the way it fits,   comfortable sneakers like way fits
  Purchased to wear for weightlifting and Zumba. Zumba trial was last night, and they were great! Super comfortable,  purchased to wear for weightlifting and zumba zumba trial was last night,   purchased wear weightlifting zumba zumba trial night
  Comfortable and lightweight.,  Five Stars,  comfortable and lightweight,   comfortable lightweight
  I love these shoes my second pair of 40 plus $ shoes and they both have certainly out done the $100 K-swiss that I'm looking to return . The shoes are extremely comfortable, all my clients love them,  i love these shoes my second pair of  plus  shoes and they both have certainly out done the  kswiss that im looking to return  the shoes are extremely comfortable,   love shoes second pair   plus   shoes certainly   kswiss m looking return   shoes extremely comfortable
  They fit as expected and perfect for training, the shoelaces are a little bit too long. Other than that these shoes are as I expected them !,  they fit as expected and perfect for training,   fit expected perfect training
  Extremely well fitting and light weight,  Five Stars,  extremely well fitting and light weight,   extremely fitting light weight
  Perfect,  Five Stars,  perfect,   perfect
  Love them,  Five Stars,  love them,   love
  I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!,  i love these shoes and have worn them for a long time that are comfy,   love shoes worn long time comfy
  Fast shipping and turned out as expected. Couldn't be happier.,  Great shoes,  fast shipping and turned out as expected couldnt be happier,   fast shipping turned expected nt happier
  I have been wearing for a solid week during my work outs & they are great for comfort and they are light weight.,  Love these shoes,  i have been wearing for a solid week during my work outs  they are great for comfort and they are light weight,   wearing solid week work outs   great comfort light weight
  Love these shoes for circuit training.,  Five Stars,  love these shoes for circuit training,   love shoes circuit training
  Super comfortable. I joined Cross Fit and this is the perfect shoe.,  Super comfortable. I joined Cross Fit and this is ...,  super comfortable i joined cross fit and this is the perfect shoe,   super comfortable joined cross fit perfect shoe
  just do it :),  Five Stars,  just do it ,  
  Love these, comfortable,  love these,   love
  I love this show.,  So happy.,  i love this show,   love
  The shoes are true to size. I am used to wearing running shoes so these have been an adjustment. Overall, the shoe is nice and provides well for my HIIT and Grit classes I take.,  the shoes are true to size i am used to wearing running shoes so these have been an adjustment overall,   shoes true size wearing running shoes adjustment overall
  Love them!  I ordered an 8.5 because I usually wear that size but these are a bit big. I wish I ordered an 8. They are really comfortable and I enjoy wearing them.,  Look amazing,  love them  i ordered an  because i usually wear that size but these are a bit big i wish i ordered an  they are really comfortable and i enjoy wearing them,   love   ordered   usually wear size bit big wish ordered   comfortable enjoy wearing
  Very comfortable.,  Four Stars,  very comfortable,   comfortable
  Very nice shoes.  Comfortable.,  Five Stars,  very nice shoes  comfortable,   nice shoes   comfortable
  Very comfortable. I love wearing them.,  Five Stars,  very comfortable i love wearing them,   comfortable love wearing
  Great fit so comfortable love them!!!!!,  Five Stars,  great fit so comfortable love them,   great fit comfortable love
  A nice lightweight shoe. Not a lot of cushion so I wouldn't run long distances in them.,  Decent little shoe for the price.,  a nice lightweight shoe not a lot of cushion so i wouldnt run long distances in them,   nice lightweight shoe lot cushion nt run long distances
  I really love these shoes.  They are attractive and very comfortable.  They work well for my daily workout and fit well.,  Attractive and fit well,  i really love these shoes  they are attractive and very comfortable  they work well for my daily workout and fit well,   love shoes   attractive comfortable   work daily workout fit
  Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,  Runs large,  comfortable shoe  first time ive ever bought nikes that feel so large  it feels about  size too big  i bought   i normally wear exactly that size and on occasion an ,   comfortable shoe   time ve bought nikes feel large   feels   size big   bought    normally wear exactly size occasion
  Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,  One Star,  ordered m received  wide for the second time returned them for the second time,   ordered m received   wide second time returned second time
  Nice shoes,  Five Stars,  nice shoes,   nice shoes
  This is my second pair of these shoes.  I love the fit and they provide support for walking.  I like the way the shoes fit around my ankle, as many shoes are uncomfortable because they come up too high in the back.  Try them!,  this is my second pair of these shoes  i love the fit and they provide support for walking  i like the way the shoes fit around my ankle,   second pair shoes   love fit provide support walking   like way shoes fit ankle
 Color::  Cool Grey/Rage Green/Hyper Turquoise}, reviewerName: L. Jones, color  cool greyrage greenhyper turquoise,  color   cool greyrage greenhyper turquoise
  Got them for my girlfriend. She loves them. Says it's like wearing slippers because they are incredibly light.,  Great shoes,  got them for my girlfriend she loves them says its like wearing slippers because they are incredibly light,   got girlfriend loves says like wearing slippers incredibly light
  Serves intended purpose,  Good shoe,  serves intended purpose,   serves intended purpose
  They are super comfortable. Loving them.,  Five Stars,  they are super comfortable loving them,   super comfortable loving
 reviewerName: vp22, reviewText: I have gotten so many compliments on the blue color and look of this shoe.  It is super comfortable.  The grip is wonderful for my indoor gym cross training classes.  I always order a half size larger in Nike brand shoes and thy fit perfectly as I did with this shoe., reviewername vp,  reviewername vp
  Fit is fine, but not much cushioning in the footbed. The first time wearing them on a long walk I developed a blister on the bottom of my foot.,  fit is fine,   fit fine
  Perfect for the gym, could use a little more support in the toe area but very comfortable and light. Fit true to size.,  perfect for the gym,   perfect gym
 reviewerName: MSM, reviewText: Meh, reviewername msm,  reviewername msm
  Love these! Super light and comfortable!,  Five Stars,  love these super light and comfortable,   love super light comfortable
  Loved the products and services!!,  Five Stars,  loved the products and services,   loved products services
  It's hard to find a lightweight athletic shoe with a wide toe box. This shoe has that. I am happy with the support for walking and everyday wear. I wouldn't run in them. Now I just have to stock up on as many pair as I can afford before Nike discontinues them :). Don't you hate when that happens?,  Hurry before they're gone!,  its hard to find a lightweight athletic shoe with a wide toe box this shoe has that i am happy with the support for walking and everyday wear i wouldnt run in them now i just have to stock up on as many pair as i can afford before nike discontinues them  dont you hate when that happens,   hard find lightweight athletic shoe wide toe box shoe happy support walking everyday wear nt run stock pair afford nike discontinues   nt hate happens
  The shoes are amazing,very comfortable and fit as expected highly recommended. :),  the shoes are amazing,   shoes amazing
  Super comfy!!,  Five Stars,  super comfy,   super comfy
  I needed a wide size, that option was not available. So I went up a half size bigger hoping that would work. It's not quite comfortable but I am  able to wear them. I like the shoes.,  i needed a wide size,   needed wide size
  Look great,  Five Stars,  look great,   look great
  I love these shoes. I am rather basic when it comes to Nikes, I don't need all the cool colors,  i love these shoes i am rather basic when it comes to nikes,   love shoes basic comes nikes
  Cute and comfy. Sleek design. My only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs. I have two pairs of this style.,  My second favorite.,  cute and comfy sleek design my only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs i have two pairs of this style,   cute comfy sleek design complaint fly wire loosens shoe slips heels heavy sled runs pairs style
  I love them!,  Five Stars,  i love them,   love
  normally Nike fits small so we go up a half size. These actually fit to my wife's appropriate size. So be ware when you order.,  Fit to actual size.,  normally nike fits small so we go up a half size these actually fit to my wifes appropriate size so be ware when you order,   normally nike fits small half size actually fit wifes appropriate size ware order
  love these shoes. use them to workout inside and to work,  Five Stars,  love these shoes use them to workout inside and to work,   love shoes use workout inside work
  I was shocked at how small these shoes were, not true at all to size,  i was shocked at how small these shoes were,   shocked small shoes
 Color::  White/Hyper Pink/Pure Platinum/Wolf Grey}, reviewerName: Donna Omar, color  whitehyper pinkpure platinumwolf grey,  color   whitehyper pinkpure platinumwolf grey
  They fit perfectly. These shoes are great for walking - so very comfortable. Love them.,  These shoes are great for walking - so very comfortable,  they fit perfectly these shoes are great for walking  so very comfortable love them,   fit perfectly shoes great walking   comfortable love
  Good fit and comfy.  Not so cushiony so definetly better for training and not for running or aerobics. Bought size 8 which is my usual size.,  Good choice for training shoe,  good fit and comfy  not so cushiony so definetly better for training and not for running or aerobics bought size  which is my usual size,   good fit comfy   cushiony definetly better training running aerobics bought size   usual size
  Light weight and comfortable,  Five Stars,  light weight and comfortable,   light weight comfortable
 reviewerName: ddsmith8, reviewText: I was wearing running shoes for cardio dance classes at the gym because I thought they would be sufficient. After getting 2 blood blisters I did some research and found out cross trainers would be more appropriate which is how I ended up buying this pair. They are slightly longer in look then I  would like but I think that is typical of cross trainers. Also, reviewername ddsmith,  reviewername ddsmith
  Nikes usually run small and I'm a 7.5, so I ordered these in an 8 and they were actually very roomy.  I love them but they are definitely bright orange/coral and not bright crimson like the description said.  I thought they'd be more red in hue to wear with my Ohio State clothes,  nikes usually run small and im a ,   nikes usually run small m
  Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,  Color was not at all what i expected. It ...,  color was not at all what i expected  it was more orange then red  not sure that i am going to keep them,   color expected   orange red   sure going
  Perfect fit! Brand new in new box completely perfect condition and on sale!!! Awesome! Highly reccomend! Super cute shoes.,  Super cute and on sale!!,  perfect fit brand new in new box completely perfect condition and on sale awesome highly reccomend super cute shoes,   perfect fit brand new new box completely perfect condition sale awesome highly reccomend super cute shoes
 reviewerName: ZS87, reviewText: Squeaky, reviewername zs,  reviewername zs
  If you wear Nike on the regular, then you should pretty much know your size. I wear only 7's in Nike,  if you wear nike on the regular,   wear nike regular
  Great arch support and cushion both for the heel and ball of the foot. Great aerobic shoe!,  Nice Support,  great arch support and cushion both for the heel and ball of the foot great aerobic shoe,   great arch support cushion heel ball foot great aerobic shoe
  Good quality, perfect fit.  It's a Nike!,  good quality,   good quality
  Size 8, but purchased 8.5 for a more comfortable feel,  size ,   size
  I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.,  ive always gotten this size in nike shoes with similar description,   ve gotten size nike shoes similar description
  Very lightweight. Normal Nike quality. Pink is very bright , colors look great together.,  very lightweight normal nike quality pink is very bright ,   lightweight normal nike quality pink bright
  Love them!!,  Five Stars,  love them,   love
  Arrived on time. I probably should have gone with a 7.5 instead of an 8 because they do seem a little big, but if I wear thick socks they are fine. Also,  arrived on time i probably should have gone with a  instead of an  because they do seem a little big,   arrived time probably gone   instead   little big
 Color::  Cool Grey/Volt/Pure Platinum}, reviewerName: Dawn Rosa, color  cool greyvoltpure platinum,  color   cool greyvoltpure platinum
  The lines don't really show up unless there is a bright light on them. But other than that they are perfect. They are very true to size and are comfortable the first time you put them on.,  4/5,  the lines dont really show up unless there is a bright light on them but other than that they are perfect they are very true to size and are comfortable the first time you put them on,   lines nt bright light perfect true size comfortable time
  I love these!  I ordered an 8.5 which is my normal shoe size and they fit great.  I used them for my strength training class and they performed well, and they are sooooo pretty!  Comfortable,  i love these  i ordered an  which is my normal shoe size and they fit great  i used them for my strength training class and they performed well,   love   ordered   normal shoe size fit great   strength training class performed
  Cute and comfortable,  Five Stars,  cute and comfortable,   cute comfortable
  Very comfortable.,  Five Stars,  very comfortable,   comfortable
  Sizing was perfect as ordered. Quality appears good, still new,  sizing was perfect as ordered quality appears good,   sizing perfect ordered quality appears good
  Size really depends on the brand.  I wear a 6.5 in Nike and they fit me perfectly.  These shoes are comfortable, they wrap around my feet like a bandage but do not restrict movement.,  size really depends on the brand  i wear a  in nike and they fit me perfectly  these shoes are comfortable,   size depends brand   wear   nike fit perfectly   shoes comfortable
  I was really excited when I opened the box to see the color is exactly like the image shows! I have the Nike flex tr 5 and used the same size to order these. They are a little bigger than expected but still comfortable.,  ... opened the box to see the color is exactly like the image shows,  i was really excited when i opened the box to see the color is exactly like the image shows i have the nike flex tr  and used the same size to order these they are a little bigger than expected but still comfortable,   excited opened box color exactly like image shows nike flex tr   size order little bigger expected comfortable
  Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!,  returning these the pictures on here make the shoe appear all black with a touch of pink in the check however,   returning pictures shoe appear black touch pink check
  wow these are the most comfortable, light weight shoes. I love them!!,  wow these are the most comfortable,   wow comfortable
  love the lightweight and the fit,  Five Stars,  love the lightweight and the fit,   love lightweight fit
  fits perfect, my daughter loves them,  fits perfect,   fits perfect
  Finally, after trying about 10 pairs of Nike's,  finally,   finally
  Came quick and my daughter LOVES them,  Five Stars,  came quick and my daughter loves them,   came quick daughter loves
  Great Gift - she loved it!  It's a nice shoe!,  Five Stars,  great gift  she loved it  its a nice shoe,   great gift   loved   nice shoe
  Perfect!,  Just what I wanted!,  perfect,   perfect
  Bought these for my daughter and she loves them.  She tried them on at a retail store a couple months prior, so I knew her exact size.,  bought these for my daughter and she loves them  she tried them on at a retail store a couple months prior,   bought daughter loves   tried retail store couple months prior
  Great product and fast shipping!,  Five Stars,  great product and fast shipping,   great product fast shipping
 reviewerName: caridad Hidalgo, reviewText: Tried one in the store and bought it online but it was a different  kind of shoe . Too big , reviewername caridad hidalgo,  reviewername caridad hidalgo
  I had the older generation of this shoe that survived 2 or 3 mud runs and of all my aches and pains, my feet was not one of them. This is because of this shoe. Nike really dropped the mic with this.,  i had the older generation of this shoe that survived  or  mud runs and of all my aches and pains,   older generation shoe survived     mud runs aches pains
  This pair fits perfect.....the first pair was wrong size in the right box.....definitely order again!!!!!,  Five Stars,  this pair fits perfectthe first pair was wrong size in the right boxdefinitely order again,   pair fits perfectthe pair wrong size right boxdefinitely order
  I returned these as they were not true to size. They ran large.,  Not true to size,  i returned these as they were not true to size they ran large,   returned true size ran large
  wrong shoes,  One Star,  wrong shoes,   wrong shoes
  There very nice,  Nice,  there very nice,   nice
 reviewerName: Lisa (Hartford CT), reviewText: I actually have 3 pairs of these trainers.  They are very comfortable, reviewername lisa hartford ct,  reviewername lisa hartford ct
  Just too big otherwise I liked them!,  Four Stars,  just too big otherwise i liked them,   big liked
  Comfortable shoe.  I would buy again,  Four Stars,  comfortable shoe  i would buy again,   comfortable shoe   buy
 reviewerName: Amazon Customer, reviewText: Light weight and comfortable., reviewername amazon customer,  reviewername amazon customer
  Fit my size perfectly and very comfortable!,  Five Stars,  fit my size perfectly and very comfortable,   fit size perfectly comfortable
  Love these shoes! Needed new running shoes and these are perfect. Light weight and fit great!,  Five Stars,  love these shoes needed new running shoes and these are perfect light weight and fit great,   love shoes needed new running shoes perfect light weight fit great
  Purchased these for our teenage daughter. She loves them. For both casual wear and sports.,  Five Stars,  purchased these for our teenage daughter she loves them for both casual wear and sports,   purchased teenage daughter loves casual wear sports
  Love these shoes, I have worn them all day and found them really comfortable with no aching feet at the end of the day. Fantastic colour and true to size. I also bought  Nike Women's Flex Supreme Tr 3 Pnk Pw/Mtllc Slvr/Cl Gry/White Training Shoe and these shoes are slightly more comfortable than those even though they look very similar.,  love these shoes,   love shoes
  Super light weight comfortable! Kick box in these and run too. Good support!,  Super light weight versatile,  super light weight comfortable kick box in these and run too good support,   super light weight comfortable kick box run good support
  i bought a pair from DSW for 50$ and they are very comfortable but i bought a size 6.5 when I normally where a size 7.  and even the 6.5 feels a little roomy.  I have wide flat feet btw.  im not sure if I will keep them even though i love their look and comfort.  I've been having feet problems while taking a gym class and I think they won't give me enough support when running.  they're great for wearing at home or gym and doing exercises in one place- extremely light weight and flexible, but i don't know if they'll last long if you use them everywhere else.  :(  i really like them but i cant just buy 2 different shoes.\nalso,  i bought a pair from dsw for  and they are very comfortable but i bought a size  when i normally where a size   and even the  feels a little roomy  i have wide flat feet btw  im not sure if i will keep them even though i love their look and comfort  ive been having feet problems while taking a gym class and i think they wont give me enough support when running  theyre great for wearing at home or gym and doing exercises in one place extremely light weight and flexible,   bought pair dsw   comfortable bought size   normally size      feels little roomy   wide flat feet btw   m sure love look comfort   ve having feet problems taking gym class think wo nt support running   great wearing home gym exercises place extremely light weight flexible
  Not a lot of arch support but really lightweight.,  Four Stars,  not a lot of arch support but really lightweight,   lot arch support lightweight
  EXCELLENT,  Five Stars,  excellent,   excellent
  Good for non-aerobic workout. Mesh was very comfortable but no support for lateral movrment.,  Not for aerobic exercise,  good for nonaerobic workout mesh was very comfortable but no support for lateral movrment,   good nonaerobic workout mesh comfortable support lateral movrment
  Favorite Nikes ever. I already owned this style and was ready for a new pair so I went with these. Love the color and they fit great.,  Favorite Nikes ever,  favorite nikes ever i already owned this style and was ready for a new pair so i went with these love the color and they fit great,   favorite nikes owned style ready new pair went love color fit great
  Light-weight comfy shoes.,  Four Stars,  lightweight comfy shoes,   lightweight comfy shoes
